,resolution,projected_create_bins,projected_create_kernels,calc_ft_data,projected_create_Cm_coeffs,calc_zeta
0,32,0.0009000000000001229,0.01399399999999984,0.00013599999999991397,0.006669999999999732,0.013431999999999888
1,48,0.0012020000000001474,0.022737999999999925,0.00028600000000000847,0.011728000000000183,0.01913800000000032
2,64,0.0012780000000001124,0.03360399999999997,0.0005939999999999834,0.017438000000000287,0.058462000000000014
3,96,0.0016859999999998543,0.05442199999999975,0.000764000000000209,0.033110000000000195,0.09583999999999993
4,128,0.00324599999999986,0.08304599999999995,0.0011639999999997208,0.04974400000000001,0.22151999999999994
5,160,0.0041240000000000165,0.11702000000000012,0.002136000000000138,0.07191400000000003,0.3506859999999996
6,192,0.005933999999999884,0.15958200000000033,0.0035720000000001306,0.10236999999999963,0.5684480000000001
7,224,0.006634000000000029,0.1893760000000002,0.003969999999999807,0.13564199999999982,0.7945139999999995
8,256,0.009678000000000075,0.2510079999999997,0.0050800000000004175,0.1861120000000005,1.0559659999999997
