,m_max,nbins,projected_create_bins,projected_create_kernels,calc_ft_data,projected_create_Cm_coeffs,calc_zeta
0,5,2,0.0019279889999999078,0.024776595000000068,0.0010664339999999495,0.016141986000000053,0.0027436180000000032
1,5,3,0.0009242849999999692,0.031824572000000106,0.00108224400000001,0.023983419999999978,0.007633298000000011
2,5,4,0.0010162289999999796,0.04060523700000007,0.0010264390000001011,0.032313529999999924,0.014867898999999962
3,5,5,0.0010877340000001734,0.04933193999999985,0.00114716700000006,0.04102440299999999,0.02446696699999995
4,5,6,0.001130815999999868,0.057434848999999843,0.0011545109999999692,0.04951479800000014,0.03645250499999997
5,5,7,0.0012048269999997974,0.06568893599999992,0.0011556729999999682,0.05799450100000003,0.05098395600000005
6,5,8,0.0012861509999999576,0.07434038500000018,0.0011528279999999391,0.06599269200000002,0.06826261000000011
7,6,2,0.0008871539999999456,0.026266542999999976,0.001090910000000056,0.018793779999999982,0.003249967999999992
8,6,3,0.0009367479999999873,0.03915383199999978,0.013654454999999732,0.03035353999999968,0.009366497000000251
9,6,4,0.0010332210000001396,0.0470429160000001,0.0011211280000003043,0.04056738500000012,0.01790767800000026
10,6,5,0.0010815430000001847,0.057494302000000275,0.0011476379999999509,0.048586645999999956,0.029370504000000075
11,6,6,0.001139482000000136,0.06768796999999971,0.0011333609999999439,0.05770723600000016,0.04451066000000026
12,6,7,0.001216499000000315,0.07763348499999978,0.0011442910000001305,0.06695154199999998,0.06101390200000001
13,6,8,0.0012780659999998,0.08788364000000026,0.0011412059999997837,0.07690077499999992,0.08152501200000017
14,7,2,0.0008888969999998331,0.028892868000000238,0.0011171100000000322,0.021594875999999985,0.003782159000000007
15,7,3,0.0009422980000000081,0.044420318000000236,0.0020198640000002044,0.034755223999999973,0.010745053999999588
16,7,4,0.0009995670000000345,0.05436362999999966,0.0010912109999998698,0.0463845359999997,0.021040664000000042
17,7,5,0.0011096159999999244,0.0652517050000001,0.0011535889999998439,0.05510223199999986,0.034541127999999865
18,7,6,0.0011434609999998457,0.07713265499999977,0.0011635689999995869,0.06653097399999996,0.05135064200000006
19,7,7,0.0012047759999997965,0.08871686200000006,0.0011561350000000026,0.07732187400000035,0.07170441199999988
20,7,8,0.0012698100000001489,0.09973851999999983,0.0011676970000000786,0.08683151300000036,0.09622363900000064
21,8,2,0.0009163390000006544,0.03232929999999978,0.0010928750000003262,0.02417786799999977,0.004234706999999283
22,8,3,0.0009376999999997082,0.048125851,0.0010670450000000997,0.03913356400000012,0.012041955000000826
23,8,4,0.001034923999999826,0.061140823000000566,0.0010709620000000086,0.05182636500000015,0.02379642400000037
24,8,5,0.001082163999999608,0.0749779359999998,0.0011733369999999965,0.06181711699999948,0.039305180000000384
25,8,6,0.001169649999999578,0.08742481999999985,0.00114737700000056,0.07463935300000024,0.05850489999999997
26,8,7,0.001212179999999563,0.09936366899999971,0.0011540100000004827,0.0858488089999998,0.08176050899999954
27,8,8,0.0012735870000000205,0.11393857100000027,0.0011506739999997961,0.09727198800000014,0.10845672700000009
28,9,2,0.0008892279999992425,0.03716164099999997,0.0011214790000000363,0.027026755000000513,0.004879781999999722
29,9,3,0.0009665249999999403,0.053585763000000064,0.0010276799999999753,0.043326011999999636,0.013489341999999738
30,9,4,0.0010085839999991464,0.06801626300000052,0.0011525880000000654,0.05797640699999995,0.02667784399999995
31,9,5,0.001087504000000017,0.08269644399999976,0.0011257860000002395,0.0692765350000002,0.043798338000000214
32,9,6,0.001149111000000147,0.09698916199999985,0.0011033539999996123,0.0822534939999997,0.0670893330000002
33,9,7,0.0011833159999996568,0.11166864399999987,0.0011451029999998141,0.09488176199999998,0.09250823699999966
34,9,8,0.0012529690000002702,0.12674631099999978,0.0011239129999998099,0.10885951200000044,0.12242887599999985
35,10,2,0.0008639700000001582,0.04088665100000011,0.0011176710000002643,0.03005216700000002,0.005289269000000374
36,10,3,0.0009214189999999789,0.06029235200000027,0.0010300050000005,0.04778959399999927,0.015446396999999834
37,10,4,0.0010209680000006216,0.07599916299999965,0.0011846980000003171,0.062359165999999355,0.02953368399999956
38,10,5,0.0010886559999994105,0.09200013299999998,0.0011370680000002409,0.0764760390000001,0.0495563670000001
39,10,6,0.0011593809999999038,0.10804940399999996,0.0011418670000002962,0.08968847600000007,0.07376815900000011
40,10,7,0.001236126000000226,0.12375238799999977,0.001146335000000498,0.10530631699999926,0.10224665100000063
41,10,8,0.0012928140000010302,0.13850610000000074,0.001165000999998611,0.12066187199999945,0.1364552070000009
42,11,2,0.000917410999999646,0.046065801000001017,0.001137789000001277,0.03272525200000054,0.005869378999999952
43,11,3,0.0009733269999987471,0.06521022699999968,0.0011461159999992532,0.05252263599999907,0.01666984899999946
44,11,4,0.0010467060000003414,0.08314175000000112,0.0011233019999998817,0.0668445490000007,0.03271845899999981
45,11,5,0.0011588390000003557,0.10011636800000012,0.0011528880000000186,0.0835691220000001,0.05345475500000063
46,11,6,0.0011506839999988472,0.11639649700000021,0.0011800099999987879,0.09941006700000088,0.08037073100000036
47,11,7,0.0012240329999997357,0.13299044099999868,0.0012200350000011184,0.11365875000000081,0.11233905499999963
48,11,8,0.0012960700000004266,0.1502095919999995,0.001162826999999922,0.12957108099999992,0.14985987900000097
49,12,2,0.000904766999999751,0.051339249999999836,0.0011507439999984825,0.03644026299999936,0.006334001000000811
50,12,3,0.000991821999999587,0.0712479160000008,0.0010306760000009518,0.05272508000000009,0.01799792000000089
51,12,4,0.0010287330000000594,0.09285879299999955,0.0011136539999991868,0.0717363639999995,0.035418011999999166
52,12,5,0.0011018410000005474,0.10776741899999998,0.001131859000000901,0.08799025299999919,0.05881940699999966
53,12,6,0.00114269899999897,0.12504024199999897,0.0011736179999992657,0.1056454010000003,0.0878755249999994
54,12,7,0.001218912999998878,0.1452830719999998,0.0011494919999996966,0.12446119300000014,0.12264458499999975
55,12,8,0.0012808810000013438,0.16286180700000052,0.0011510750000010006,0.14028259100000007,0.16227713699999846
